"method","test_season","season","geo_level","K","lambda_K","n_weeks"
"clustergeoaug","2025/26",NA,"cluster",7,0.40323325984154,26
"clustergeoaug","2025/26",NA,"rac",22,0.620463726706863,26
"clustergeoaug","2025/26",NA,"dshs",8,0.478738291022101,26
"clustergeoaug","2025/26",NA,"hsa",61,0.76844338042324,26
"clustergeoaug","2025/26","2025/26","state",1,0,26
"clustergeoaug","2025/26","2025/26","county",254,1,26
"clustergeoaug","2025/26",NA,"cluster",9,0.433579938333208,26
"clustergeoaug","2025/26",NA,"rac",22,0.620463726706863,26
"clustergeoaug","2025/26",NA,"dshs",8,0.478738291022101,26
"clustergeoaug","2025/26",NA,"hsa",61,0.76844338042324,26
"clustergeoaug","2025/26","2025/26","state",1,0,26
"clustergeoaug","2025/26","2025/26","county",254,1,26
"clustergeoaug","Overall","Overall","cluster",7,0.364213261836631,78
"clustergeoaug","Overall","Overall","cluster",9,0.390092328074167,78
"clustergeoaug","Overall","Overall","cluster",15,0.51185856610989,78
"clustergeoaug","Overall","Overall","cluster",21,0.581240551569196,78
"clustergeoaug","Overall","Overall","cluster",23,0.589926701399734,78
"clustergeoaug","Overall","Overall","cluster",31,0.646041144616968,78
"clustergeoaug","Overall","Overall","cluster",45,0.705165033848063,78
"clustergeoaug","Overall","Overall","cluster",61,0.743624088964602,78
"clustergeoaug","Overall","Overall","county",254,1,624
"clustergeoaug","Overall","Overall","dshs",8,0.462266016888432,624
"clustergeoaug","Overall","Overall","hsa",61,0.754251013620664,624
"clustergeoaug","Overall","Overall","rac",22,0.601278917358136,624
"clustergeoaug","Overall","Overall","state",1,0,624
